event-id,visible,timestamp,location-long,location-lat,algorithm-marked-outlier,argos:altitude,argos:best-level,argos:calcul-freq,argos:error-radius,argos:gdop,argos:iq,argos:lat1,argos:lat2,argos:lc,argos:lon1,argos:lon2,argos:nb-mes,argos:nb-mes-120,argos:nopc,argos:orientation,argos:pass-duration,argos:sat-id,argos:semi-major,argos:semi-minor,argos:sensor-1,argos:sensor-2,argos:sensor-3,argos:transmission-timestamp,argos:valid-location-algorithm,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
17136260841,true,2009-07-06 14:21:12.000,-139.10265,69.60601,,0.136,-125.0,4.016774934E8,179.0,202,"11",69.60601,64.03471,"3",-139.10265,-106.96334,10,0,3,89.0,558.0,"NK",759.0,42.0,22,4,316,2009-07-06 14:20:42.000,"1","argos-doppler-shift","Vulpes lagopus","83762","RBRB","Arctic fox Herschel - Argos tracking"
17136265064,true,2009-07-07 13:43:45.000,-139.08371,69.61253,,0.098,-130.0,4.016775031E8,235.0,541,"11",69.61253,56.67577,"3",-139.08371,-67.54325,7,0,3,97.0,558.0,"NL",736.0,75.0,13,4,412,2009-07-07 13:48:24.000,"1","argos-doppler-shift","Vulpes lagopus","83762","RBRB","Arctic fox Herschel - Argos tracking"
17136262442,true,2009-07-08 16:54:08.000,-139.06232,69.62276,,0.069,-128.0,4.016774954E8,405.0,294,"11",69.62276,74.83544,"2",-139.06232,-168.67667,7,0,4,108.0,372.0,"NK",1212.0,135.0,22,4,332,2009-07-08 16:54:09.000,"1","argos-doppler-shift","Vulpes lagopus","83762","RBRB","Arctic fox Herschel - Argos tracking"
17136260810,true,2009-07-09 16:28:34.000,-139.05204,69.60842,,0.082,-129.0,4.016774452E8,852.0,263,"11",69.60842,73.11565,"1",-139.05204,-158.5645,8,0,3,101.0,434.0,"NK",3981.0,182.0,31,4,316,2009-07-09 16:31:09.000,"1","argos-doppler-shift","Vulpes lagopus","83762","RBRB","Arctic fox Herschel - Argos tracking"
17136256070,true,2009-07-10 14:29:59.000,-139.08713,69.60498,,0.116,-127.0,4.016774524E8,229.0,335,"11",69.60498,78.00621,"3",-139.08713,176.69829,7,0,3,98.0,372.0,"NN",1103.0,47.0,29,4,280,2009-07-10 14:27:56.000,"1","argos-doppler-shift","Vulpes lagopus","83762","RBRB","Arctic fox Herschel - Argos tracking"
17136259988,true,2009-07-11 16:18:45.000,-139.0466,69.59895,,0.02,-129.0,4.016774629E8,432.0,602,"11",69.59895,67.46298,"2",-139.0466,-127.96862,12,0,4,100.0,682.0,"NL",5531.0,33.0,28,4,308,2009-07-11 16:27:32.000,"1","argos-doppler-shift","Vulpes lagopus","83762","RBRB","Arctic fox Herschel - Argos tracking"
17136257866,true,2009-07-12 15:49:33.000,-139.08126,69.59417,,0.1,-131.0,4.016774989E8,216.0,354,"11",69.59417,84.17921,"3",-139.08126,139.67155,6,0,4,91.0,434.0,"NN",712.0,65.0,15,4,292,2009-07-12 15:50:04.000,"1","argos-doppler-shift","Vulpes lagopus","83762","RBRB","Arctic fox Herschel - Argos tracking"
17136256728,true,2009-07-13 14:16:48.000,-139.05515,69.59337,,0.066,-130.0,4.016774729E8,239.0,539,"11",69.59337,58.94503,"3",-139.05515,-78.63284,7,0,4,75.0,372.0,"NL",1049.0,54.0,26,4,284,2009-07-13 14:17:51.000,"1","argos-doppler-shift","Vulpes lagopus","83762","RBRB","Arctic fox Herschel - Argos tracking"
17136264773,true,2009-07-14 14:28:26.000,-139.03994,69.60229,,0.082,-124.0,4.016775046E8,498.0,217,"11",69.60229,64.56996,"2",-139.03994,-110.56339,10,0,3,94.0,806.0,"NK",2731.0,90.0,17,4,388,2009-07-14 14:22:45.000,"1","argos-doppler-shift","Vulpes lagopus","83762","RBRB","Arctic fox Herschel - Argos tracking"
17136261460,true,2009-07-15 14:03:53.000,-139.09185,69.60102,,0.109,-127.0,4.016775052E8,388.0,223,"11",69.60102,62.92784,"2",-139.09185,-100.97408,9,0,3,93.0,496.0,"NK",1324.0,113.0,6,3,324,2009-07-15 14:07:00.000,"1","argos-doppler-shift","Vulpes lagopus","83762","RBRB","Arctic fox Herschel - Argos tracking"
17136264727,true,2009-07-16 17:00:20.000,-139.09827,69.59661,,0.102,-122.0,4.016774999E8,434.0,347,"11",69.59661,75.53728,"2",-139.09827,-172.15367,8,0,4,92.0,434.0,"NK",1830.0,102.0,20,3,388,2009-07-16 16:56:12.000,"1","argos-doppler-shift","Vulpes lagopus","83762","RBRB","Arctic fox Herschel - Argos tracking"
17136255547,true,2009-07-17 13:17:54.000,-139.02,69.58181,,0.032,-129.0,4.016774501E8,187.0,352,"11",69.58181,72.26299,"3",-139.02,-153.30936,7,0,3,102.0,372.0,"NN",1049.0,33.0,30,4,276,2009-07-17 13:18:56.000,"1","argos-doppler-shift","Vulpes lagopus","83762","RBRB","Arctic fox Herschel - Argos tracking"
17136262008,true,2009-07-18 14:57:21.000,-139.12601,69.61484,,0.148,-126.0,4.016774982E8,411.0,227,"11",69.61484,61.374,"2",-139.12601,-94.62165,10,0,3,88.0,558.0,"NL",1275.0,132.0,10,3,328,2009-07-18 14:54:47.000,"1","argos-doppler-shift","Vulpes lagopus","83762","RBRB","Arctic fox Herschel - Argos tracking"
17136259663,true,2009-07-19 16:25:58.000,-139.08905,69.60287,,0.107,-128.0,4.016775015E8,362.0,433,"11",69.60287,67.77428,"2",-139.08905,-129.56013,9,0,3,98.0,558.0,"NL",3511.0,37.0,8,3,308,2009-07-19 16:27:31.000,"1","argos-doppler-shift","Vulpes lagopus","83762","RBRB","Arctic fox Herschel - Argos tracking"
17136260431,true,2009-07-20 14:32:02.000,-139.05345,69.60725,,0.083,-129.0,4.016775015E8,197.0,336,"11",69.60725,59.71972,"3",-139.05345,-85.62328,8,0,4,99.0,434.0,"NL",620.0,62.0,8,3,316,2009-07-20 14:29:28.000,"1","argos-doppler-shift","Vulpes lagopus","83762","RBRB","Arctic fox Herschel - Argos tracking"
17136265216,true,2009-07-21 16:03:14.000,-139.01707,69.59604,,0.031,-127.0,4.016775061E8,779.0,232,"11",69.59604,65.99396,"1",-139.01707,-120.09429,12,0,3,95.0,744.0,"NL",5144.0,118.0,11,3,428,2009-07-21 16:03:14.000,"1","argos-doppler-shift","Vulpes lagopus","83762","RBRB","Arctic fox Herschel - Argos tracking"
17136253000,true,2009-07-22 14:39:47.000,-139.10111,69.60906,,0.128,-130.0,4.016774781E8,368.0,612,"11",69.60906,65.38841,"2",-139.10111,-114.23026,6,0,2,92.0,310.0,"NK",5204.0,26.0,24,4,260,2009-07-22 14:40:19.000,"1","argos-doppler-shift","Vulpes lagopus","83762","RBRB","Arctic fox Herschel - Argos tracking"
